date,spot,fwd_W2,fwd_M1,fwd_W6,fwd_M2,fwd_M3,fwd_M4,fwd_M5,fwd_M6,level_W2,level_M1,level_W6,level_M2,level_M3,level_M4,level_M5,level_M6,skew_W2,skew_M1,skew_W6,skew_M2,skew_M3,skew_M4,skew_M5,skew_M6,conv_W2,conv_M1,conv_W6,conv_M2,conv_M3,conv_M4,conv_M5,conv_M6
20080102,145.13200690626573,145.13200690626573,145.3702940865468,145.5664327976388,145.5493644098144,145.59386013506338,145.83711261952706,146.08036510399074,146.30417003196604,0.21661781898896332,0.22174682923245195,0.22334661541118497,0.2275088142818681,0.22990415196313574,0.22995624075743265,0.22998748837128372,0.22953748269789684,-0.03081341478981604,-0.04122039554011776,-0.04753890070450001,-0.0525823105376422,-0.056274685660000955,-0.058244864025780343,-0.05758916851046324,-0.05678744121459242,0.001106503095159419,-2.93498390438873E-4,-0.0031080775189940395,-0.003998618347713962,-0.0038406016617742516,-0.004252348514860212,-0.004229868517526779,-0.004135951844204185
20080103,145.11916282384286,145.11916282384286,145.36684745763654,145.5564872841037,145.546947613464,145.63397339258566,145.88375299776905,146.13353260295247,146.3345589610972,0.2125842987421447,0.21786940114752,0.21930147135683506,0.22178519522463558,0.22332475881522967,0.22373169446879515,0.22397550097248803,0.22382862999820713,-0.027859562917053087,-0.04013861633328014,-0.04781370728683339,-0.05177815270658695,-0.05426256585001251,-0.05627935585218443,-0.05579179412885774,-0.05515719287061552,-0.0010608077512828723,-0.0032425153197109405,-0.0056673701910087025,-0.005967279835568988,-0.005085181999379284,-0.005291573178586415,-0.004753629614167229,-0.00422350960313453
20080104,141.46805587393678,141.46805587393678,141.7103599004792,141.88606607463223,141.85439333855217,141.92928377066514,142.14866041452612,142.3680370583871,142.55518937306988,0.23351711606919529,0.23411713786083918,0.23426447170043443,0.23612783991277184,0.23587192969374354,0.2343495525674809,0.23343136064217127,0.23265673508457022,-0.0223544021395094,-0.035055260373178805,-0.04332652187667208,-0.049656711956079964,-0.05523755232607746,-0.05645044025864068,-0.0549156483633918,-0.05393244067171932,5.638649500807989E-4,-7.2098633056925E-4,-0.002927783327121023,-0.004448331022992096,-0.006070282119920285,-0.005698358942535729,-0.0041287604898055125,-0.003016436654436943
20080107,141.801432911384,141.84365553157284,142.09588546605752,142.22867127571658,142.2078124643574,142.3021680738355,142.49287207303428,142.68357607223302,142.87145581678502,0.2288521637634927,0.22717627830586384,0.22730065395500643,0.22918091078242475,0.22915489358547828,0.22833437204911208,0.22784064076015198,0.22740254066409285,-0.025610828658977024,-0.03736032941366369,-0.043370446041546294,-0.049168181201386725,-0.054264388239941674,-0.05572336332094658,-0.05454620433874575,-0.05414243569586617,-0.0011562569014678145,-0.002233846526785434,-0.002857881821002037,-0.0038211968794037766,-0.004739510496365868,-0.0047515678305244365,-0.00397973541570131,-0.0035762047517087117
20080108,138.98789465536956,139.0444484283292,139.28765732347117,139.39484518571888,139.35636796229213,139.44352871637497,139.62797199383792,139.8124152713009,139.97971092503218,0.2436800479720184,0.24835365755393898,0.24887815769491503,0.24803732613520527,0.24558175348077527,0.24344662411646617,0.24215651030750954,0.24062187306385674,-0.022305275240048907,-0.037515301250379746,-0.045905889019897554,-0.05031314290811432,-0.054520646932575,-0.056685212276806646,-0.05636613543850613,-0.056321020723485146,0.0024079150825009493,-5.644644416403718E-4,-0.004316620830213145,-0.0044533233465461975,-0.004463089113436623,-0.004837401433003674,-0.004655021726781479,-0.004566192770798579
20080109,140.63921388589506,140.71506171952228,140.96987022522606,141.06659415790446,141.03869751687745,141.1595781560722,141.37348107170246,141.5873839873327,141.77020022067774,0.2306361076406979,0.2328565042574668,0.23348497255687653,0.2341387220464744,0.23392894889930396,0.2335298821495223,0.23329011443040562,0.2324739361017347,-0.02721288859216995,-0.03924724157871666,-0.044921383144902884,-0.05006964212376162,-0.05460221093222305,-0.055986908942715206,-0.05469938304380062,-0.05461435517763175,0.0020136660177599223,-7.85681401566494E-4,-0.00379935326404414,-0.004389833741636406,-0.00495858250440908,-0.005227114984305614,-0.0048034832867489,-0.004558121530593997
20080110,141.6012177083452,141.69582191028525,141.95658295854201,142.02734905457794,141.9691754972741,142.1007453840753,142.34056568644513,142.58038598881498,142.7551902428517,0.2264458284453438,0.22794152486070632,0.2279744395117453,0.22766974364092565,0.2283107933055202,0.22894173996201433,0.22931947468773287,0.22896845416654651,-0.026453797375429113,-0.03858150452758246,-0.04406521893521735,-0.04855283266495787,-0.05291011938402057,-0.0547517381652277,-0.05412193801699946,-0.054301870469351136,0.004214923528600858,4.331556211776786E-4,-0.003280280532323693,-0.0035796239594342223,-0.003944524962633464,-0.004252596598071601,-0.00405728322412323,-0.003984948539395405
20080111,140.19274888901856,140.29781619040298,140.5510466517286,140.59712009061798,140.5220292479517,140.60662000012928,140.7779587878398,140.9492975755503,141.09645331649688,0.22465167187274204,0.2326676581009315,0.23376230620173621,0.23404366962041984,0.2344812028289274,0.23477094815936275,0.23494462384011594,0.23445879608623846,-0.019847447461831234,-0.0362072660639888,-0.04347978101289225,-0.0473016732370931,-0.0514864993591744,-0.05366371596922638,-0.053526931974897454,-0.05424463513271768,0.006068834859848686,-1.0234791080148548E-4,-0.004851760501851045,-0.004506525402718767,-0.004280570351259453,-0.004427398090194373,-0.003934211306720178,-0.0038360908807766685
20080114,141.45623388750812,141.5926304081053,141.8209916647462,141.81202185484065,141.74796100473523,141.8738073570028,142.0562449836636,142.23868261032442,142.38242916443198,0.22627289168947828,0.22349566679045357,0.22384799041688086,0.2243323562432554,0.22634370633179282,0.2276443968557689,0.22842125609083574,0.22837670684354694,-0.02753877460771612,-0.037235171000072766,-0.041613241163276415,-0.04597889241394066,-0.05070509019249487,-0.05276247037452491,-0.05252048045709727,-0.05343537945931531,0.010414164087250438,2.0705047447519553E-4,-0.002897858704370751,-0.0036484844852257142,-0.0044180894605511615,-0.004568298981448585,-0.004057265019369526,-0.003989765480275148
20080115,138.09991218654946,138.24287054593108,138.45868335608975,138.43609943823796,138.38135704174536,138.51513305477437,138.6921031829123,138.86907331105022,138.98907715029318,0.2370635175259229,0.23078247200555527,0.2326389202399823,0.23435620420701142,0.2352709586391905,0.2356739731221115,0.23591545134657152,0.23506335461257016,-0.021277338958672322,-0.031792024489573835,-0.03700450479182118,-0.04359342318721468,-0.049474204083846354,-0.05212071487774198,-0.052674538674647726,-0.05380505645857093,0.02991011925575822,0.0018739259401539532,-0.001709270399551475,-0.0036048064739746485,-0.0048609627647886264,-0.004895815547634052,-0.004137934261104085,-0.004045339524540766
